"@id","STATISTICS_NAME","CYCLE","SURVEY_DATE","OPEN_DATE","SMALL_AREA","COLLECT_AREA","OVERALL_TOTAL_NUMBER","UPDATED_DATE","DESCRIPTION","STAT_NAME.@code","STAT_NAME.$","GOV_ORG.@code","GOV_ORG.$","TITLE.@no","TITLE.$","MAIN_CATEGORY.@code","MAIN_CATEGORY.$","SUB_CATEGORY.@code","SUB_CATEGORY.$","STATISTICS_NAME_SPEC.TABULATION_CATEGORY","STATISTICS_NAME_SPEC.TABULATION_SUB_CATEGORY1","TITLE_SPEC.TABLE_CATEGORY","TITLE_SPEC.TABLE_NAME"
"0003326003","法人企業景気予測調査 結果の概要及び統計資料編","四半期","202407-202409","2024-09-12","0","該当なし","11070","2024-12-09","","00350610","法人企業景気予測調査","00350","財務省","4-1","BSI項目 従業員数判断ＢＳＩ：総括表(構成比・BSI)","07","企業・家計・経済","01","企業活動","法人企業景気予測調査","結果の概要及び統計資料編","BSI項目","従業員数判断ＢＳＩ：総括表(構成比・BSI)"
"0003200201","法人企業景気予測調査 結果の概要及び統計資料編","四半期","201901-201903","2019-03-12","0","該当なし","21096","2023-09-13","","00350610","法人企業景気予測調査","00350","財務省","4-2","BSI項目 経常利益判断ＢＳＩ：業種別(BSI)","07","企業・家計・経済","01","企業活動","法人企業景気予測調査","結果の概要及び統計資料編","BSI項目","経常利益判断ＢＳＩ：業種別(BSI)"
"0003326004","法人企業景気予測調査 結果の概要及び統計資料編","四半期","202407-202409","2024-09-12","0","該当なし","29226","2024-12-09","","00350610","法人企業景気予測調査","00350","財務省","4-2","BSI項目 従業員数判断ＢＳＩ：業種別(BSI)","07","企業・家計・経済","01","企業活動","法人企業景気予測調査","結果の概要及び統計資料編","BSI項目","従業員数判断ＢＳＩ：業種別(BSI)"
"0003325985","法人企業景気予測調査 結果の概要及び統計資料編","四半期","202407-202409","2024-09-12","0","該当なし","11520","2024-12-09","","00350610","法人企業景気予測調査","00350","財務省","5","BSI項目 今年度における設備投資のスタンス(構成比)","07","企業・家計・経済","01","企業活動","法人企業景気予測調査","結果の概要及び統計資料編","BSI項目","今年度における設備投資のスタンス(構成比)"
"0003326280","法人企業景気予測調査 結果の概要及び統計資料編","四半期","202407-202409","2024-09-12","0","該当なし","2160","2024-12-09","","00350610","法人企業景気予測調査","00350","財務省","5","BSI項目 今年度における設備投資の対象(構成比)","07","企業・家計・経済","01","企業活動","法人企業景気予測調査","結果の概要及び統計資料編","BSI項目","今年度における設備投資の対象(構成比)"
"0003326282","法人企業景気予測調査 結果の概要及び統計資料編","四半期","202407-202409","2024-09-12","0","該当なし","1800","2024-12-09","","00350610","法人企業景気予測調査","00350","財務省","5","BSI項目 今年度における設備投資計画（方針）と実績見込みとのかい離の理由(構成比)","07","企業・家計・経済","01","企業活動","法人企業景気予測調査","結果の概要及び統計資料編","BSI項目","今年度における設備投資計画（方針）と実績見込みとのかい離の理由(構成比)"
"0003200113","法人企業景気予測調査 結果の概要及び統計資料編","四半期","201901-201903","2019-03-12","0","該当なし","16200","2023-09-13","","00350610","法人企業景気予測調査","00350","財務省","5-1","BSI項目 国内・海外需要判断ＢＳＩ：総括表(構成比・BSI)","07","企業・家計・経済","01","企業活動","法人企業景気予測調査","結果の概要及び統計資料編","BSI項目","国内・海外需要判断ＢＳＩ：総括表(構成比・BSI)"
"0003200221","法人企業景気予測調査 結果の概要及び統計資料編","四半期","201901-201903","2019-03-12","0","該当なし","41760","2023-09-13","","00350610","法人企業景気予測調査","00350","財務省","5-2","BSI項目 国内・海外需要判断ＢＳＩ：業種別(BSI)","07","企業・家計・経済","01","企業活動","法人企業景気予測調査","結果の概要及び統計資料編","BSI項目","国内・海外需要判断ＢＳＩ：業種別(BSI)"
"0003325986","法人企業景気予測調査 結果の概要及び統計資料編","四半期","202407-202409","2024-09-12","0","該当なし","7200","2024-12-09","","00350610","法人企業景気予測調査","00350","財務省","6","BSI項目 今年度における資金調達方法(構成比)","07","企業・家計・経済","01","企業活動","法人企業景気予測調査","結果の概要及び統計資料編","BSI項目","今年度における資金調達方法(構成比)"
"0003326100","法人企業景気予測調査 結果の概要及び統計資料編","四半期","202407-202409","2024-09-12","0","該当なし","6480","2024-12-09","","00350610","法人企業景気予測調査","00350","財務省","6","BSI項目 今年度における利益配分のスタンス(構成比)","07","企業・家計・経済","01","企業活動","法人企業景気予測調査","結果の概要及び統計資料編","BSI項目","今年度における利益配分のスタンス(構成比)"
"0003326281","法人企業景気予測調査 結果の概要及び統計資料編","四半期","202407-202409","2024-09-12","0","該当なし","1800","2024-12-09","","00350610","法人企業景気予測調査","00350","財務省","6","BSI項目 今年度における経常利益の要因(構成比)","07","企業・家計・経済","01","企業活動","法人企業景気予測調査","結果の概要及び統計資料編","BSI項目","今年度における経常利益の要因(構成比)"
"0003200182","法人企業景気予測調査 結果の概要及び統計資料編","四半期","201901-201903","2019-03-12","0","該当なし","16200","2023-09-13","","00350610","法人企業景気予測調査","00350","財務省","7-1","BSI項目 販売・仕入価格判断ＢＳＩ：総括表(構成比・BSI)","07","企業・家計・経済","01","企業活動","法人企業景気予測調査","結果の概要及び統計資料編","BSI項目","販売・仕入価格判断ＢＳＩ：総括表(構成比・BSI)"
"0003200202","法人企業景気予測調査 結果の概要及び統計資料編","四半期","201901-201903","2019-03-12","0","該当なし","41760","2023-09-13","","00350610","法人企業景気予測調査","00350","財務省","7-2","BSI項目 販売・仕入価格判断ＢＳＩ：業種別(BSI)","07","企業・家計・経済","01","企業活動","法人企業景気予測調査","結果の概要及び統計資料編","BSI項目","販売・仕入価格判断ＢＳＩ：業種別(BSI)"
"0003200114","法人企業景気予測調査 結果の概要及び統計資料編","四半期","201901-201903","2019-03-12","0","該当なし","16200","2023-09-13","","00350610","法人企業景気予測調査","00350","財務省","9-1","BSI項目 製（商）品・原材料在庫判断ＢＳＩ：総括表(構成比・BSI)","07","企業・家計・経済","01","企業活動","法人企業景気予測調査","結果の概要及び統計資料編","BSI項目","製（商）品・原材料在庫判断ＢＳＩ：総括表(構成比・BSI)"
"0003200222","法人企業景気予測調査 結果の概要及び統計資料編","四半期","201901-201903","2019-03-12","0","該当なし","41760","2023-09-13","","00350610","法人企業景気予測調査","00350","財務省","9-2","BSI項目 製（商）品・原材料在庫判断ＢＳＩ：業種別(BSI)","07","企業・家計・経済","01","企業活動","法人企業景気予測調査","結果の概要及び統計資料編","BSI項目","製（商）品・原材料在庫判断ＢＳＩ：業種別(BSI)"
