"@id","STATISTICS_NAME","TITLE","CYCLE","SURVEY_DATE","OPEN_DATE","SMALL_AREA","COLLECT_AREA","OVERALL_TOTAL_NUMBER","UPDATED_DATE","DESCRIPTION","STAT_NAME.@code","STAT_NAME.$","GOV_ORG.@code","GOV_ORG.$","MAIN_CATEGORY.@code","MAIN_CATEGORY.$","SUB_CATEGORY.@code","SUB_CATEGORY.$","STATISTICS_NAME_SPEC.TABULATION_CATEGORY","TITLE_SPEC.TABLE_NAME","TITLE_SPEC.TABLE_SUB_CATEGORY1","TITLE_SPEC.TABLE_SUB_CATEGORY2"
"0003170623","外資系企業動向調査","外国側筆頭出資者への支払額 参入時期別","年度次","0","2017-06-29","0","該当なし","1488","2019-02-14","","00550110","外資系企業動向調査","00550","経済産業省","07","企業・家計・経済","01","企業活動","外資系企業動向調査","外国側筆頭出資者への支払額","参入時期別",""
"0003170624","外資系企業動向調査","集計企業数 資本金規模別 2006年以前","年度次","0","2017-03-31","0","該当なし","1595","2017-03-31","","00550110","外資系企業動向調査","00550","経済産業省","07","企業・家計・経済","01","企業活動","外資系企業動向調査","集計企業数","資本金規模別","2006年以前"
"0003170625","外資系企業動向調査","売上高研究開発費比率 母国籍別","年度次","0","2017-06-29","0","該当なし","2328","2019-02-14","","00550110","外資系企業動向調査","00550","経済産業省","07","企業・家計・経済","01","企業活動","外資系企業動向調査","売上高研究開発費比率","母国籍別",""
"0003170626","外資系企業動向調査","集計企業数 従業者規模別 2006年以前","年度次","0","2017-03-31","0","該当なし","750","2017-03-31","","00550110","外資系企業動向調査","00550","経済産業省","07","企業・家計・経済","01","企業活動","外資系企業動向調査","集計企業数","従業者規模別","2006年以前"
"0003170627","外資系企業動向調査","外資比率が三分の一を超えた理由 業種別","年度次","0","2017-06-29","0","該当なし","2479","2019-02-14","","00550110","外資系企業動向調査","00550","経済産業省","07","企業・家計・経済","01","企業活動","外資系企業動向調査","外資比率が三分の一を超えた理由","業種別",""
"0003170628","外資系企業動向調査","売上高、輸出高 合計 2006年以前","年度次","0","2017-03-31","0","該当なし","1287","2017-03-31","","00550110","外資系企業動向調査","00550","経済産業省","07","企業・家計・経済","01","企業活動","外資系企業動向調査","売上高、輸出高","合計","2006年以前"
"0003170640","外資系企業動向調査","設備投資額 外資比率別","年度次","0","2017-06-29","0","該当なし","6056","2019-02-14","","00550110","外資系企業動向調査","00550","経済産業省","07","企業・家計・経済","01","企業活動","外資系企業動向調査","設備投資額","外資比率別",""
"0003170641","外資系企業動向調査","集計企業数 外資比率別 2006年以前","年度次","0","2017-03-31","0","該当なし","1140","2017-03-31","","00550110","外資系企業動向調査","00550","経済産業省","07","企業・家計・経済","01","企業活動","外資系企業動向調査","集計企業数","外資比率別","2006年以前"
"0003170642","外資系企業動向調査","外資比率が三分の一を超えた理由 母国籍別","年度次","0","2017-06-29","0","該当なし","790","2019-02-14","","00550110","外資系企業動向調査","00550","経済産業省","07","企業・家計・経済","01","企業活動","外資系企業動向調査","外資比率が三分の一を超えた理由","母国籍別",""
"0003170643","外資系企業動向調査","外資比率が三分の一を超えた理由 参入時期別","年度次","0","2017-06-29","0","該当なし","590","2019-02-14","","00550110","外資系企業動向調査","00550","経済産業省","07","企業・家計・経済","01","企業活動","外資系企業動向調査","外資比率が三分の一を超えた理由","参入時期別",""
"0003170644","外資系企業動向調査","売上高の推移","年度次","0","2017-06-29","0","該当なし","248","2019-02-14","","00550110","外資系企業動向調査","00550","経済産業省","07","企業・家計・経済","01","企業活動","外資系企業動向調査","売上高の推移","",""
