"@id","STATISTICS_NAME","CYCLE","SURVEY_DATE","OPEN_DATE","SMALL_AREA","COLLECT_AREA","OVERALL_TOTAL_NUMBER","UPDATED_DATE","DESCRIPTION","STAT_NAME.@code","STAT_NAME.$","GOV_ORG.@code","GOV_ORG.$","TITLE.@no","TITLE.$","MAIN_CATEGORY.@code","MAIN_CATEGORY.$","SUB_CATEGORY.@code","SUB_CATEGORY.$","STATISTICS_NAME_SPEC.TABULATION_CATEGORY","STATISTICS_NAME_SPEC.TABULATION_SUB_CATEGORY1","TITLE_SPEC.TABLE_CATEGORY","TITLE_SPEC.TABLE_NAME","TITLE_SPEC.TABLE_SUB_CATEGORY1","TITLE_SPEC.TABLE_EXPLANATION","STATISTICS_NAME_SPEC.TABULATION_SUB_CATEGORY2","TITLE_SPEC.TABLE_SUB_CATEGORY2"
"0001883940","畜産統計調査 長期累年","-","202001-202012","2021-12-24","0","該当なし","549","2024-01-11","","00500222","畜産統計調査","00500","農林水産省","1","畜産統計 乳用牛飼養戸数･頭数累年統計 神奈川(昭和35年～令和２年)","04","農林水産業","02","畜産業","畜産統計調査","長期累年","畜産統計","乳用牛飼養戸数･頭数累年統計","神奈川(昭和35年～令和２年)","","",""
"0001883941","畜産統計調査 長期累年","-","202001-202012","2021-12-24","0","該当なし","549","2024-01-11","","00500222","畜産統計調査","00500","農林水産省","1","畜産統計 乳用牛飼養戸数･頭数累年統計 新潟(昭和35年～令和２年)","04","農林水産業","02","畜産業","畜産統計調査","長期累年","畜産統計","乳用牛飼養戸数･頭数累年統計","新潟(昭和35年～令和２年)","","",""
"0001883942","畜産統計調査 長期累年","-","202001-202012","2021-12-24","0","該当なし","549","2024-01-11","","00500222","畜産統計調査","00500","農林水産省","1","畜産統計 乳用牛飼養戸数･頭数累年統計 富山(昭和35年～令和２年)","04","農林水産業","02","畜産業","畜産統計調査","長期累年","畜産統計","乳用牛飼養戸数･頭数累年統計","富山(昭和35年～令和２年)","","",""
"0001883943","畜産統計調査 長期累年","-","202001-202012","2021-12-24","0","該当なし","549","2024-01-11","","00500222","畜産統計調査","00500","農林水産省","1","畜産統計 乳用牛飼養戸数･頭数累年統計 石川(昭和35年～令和２年)","04","農林水産業","02","畜産業","畜産統計調査","長期累年","畜産統計","乳用牛飼養戸数･頭数累年統計","石川(昭和35年～令和２年)","","",""
"0001883944","畜産統計調査 長期累年","-","202001-202012","2021-12-24","0","該当なし","549","2024-01-11","","00500222","畜産統計調査","00500","農林水産省","1","畜産統計 乳用牛飼養戸数･頭数累年統計 福井(昭和35年～令和２年)","04","農林水産業","02","畜産業","畜産統計調査","長期累年","畜産統計","乳用牛飼養戸数･頭数累年統計","福井(昭和35年～令和２年)","","",""
"0001883945","畜産統計調査 長期累年","-","202001-202012","2021-12-24","0","該当なし","549","2024-01-11","","00500222","畜産統計調査","00500","農林水産省","1","畜産統計 乳用牛飼養戸数･頭数累年統計 山梨(昭和35年～令和２年)","04","農林水産業","02","畜産業","畜産統計調査","長期累年","畜産統計","乳用牛飼養戸数･頭数累年統計","山梨(昭和35年～令和２年)","","",""
"0001883946","畜産統計調査 長期累年","-","202001-202012","2021-12-24","0","該当なし","549","2024-01-11","","00500222","畜産統計調査","00500","農林水産省","1","畜産統計 乳用牛飼養戸数･頭数累年統計 長野(昭和35年～令和２年)","04","農林水産業","02","畜産業","畜産統計調査","長期累年","畜産統計","乳用牛飼養戸数･頭数累年統計","長野(昭和35年～令和２年)","","",""
"0001883947","畜産統計調査 長期累年","-","202001-202012","2021-12-24","0","該当なし","549","2024-01-11","","00500222","畜産統計調査","00500","農林水産省","1","畜産統計 乳用牛飼養戸数･頭数累年統計 岐阜(昭和35年～令和２年)","04","農林水産業","02","畜産業","畜産統計調査","長期累年","畜産統計","乳用牛飼養戸数･頭数累年統計","岐阜(昭和35年～令和２年)","","",""
"0001883948","畜産統計調査 長期累年","-","202001-202012","2021-12-24","0","該当なし","549","2024-01-11","","00500222","畜産統計調査","00500","農林水産省","1","畜産統計 乳用牛飼養戸数･頭数累年統計 静岡(昭和35年～令和２年)","04","農林水産業","02","畜産業","畜産統計調査","長期累年","畜産統計","乳用牛飼養戸数･頭数累年統計","静岡(昭和35年～令和２年)","","",""
"0001883949","畜産統計調査 長期累年","-","202001-202012","2021-12-24","0","該当なし","549","2024-01-11","","00500222","畜産統計調査","00500","農林水産省","1","畜産統計 乳用牛飼養戸数･頭数累年統計 愛知(昭和35年～令和２年)","04","農林水産業","02","畜産業","畜産統計調査","長期累年","畜産統計","乳用牛飼養戸数･頭数累年統計","愛知(昭和35年～令和２年)","","",""
