"@id","STATISTICS_NAME","TITLE","CYCLE","SURVEY_DATE","OPEN_DATE","SMALL_AREA","COLLECT_AREA","OVERALL_TOTAL_NUMBER","UPDATED_DATE","DESCRIPTION","STAT_NAME.@code","STAT_NAME.$","GOV_ORG.@code","GOV_ORG.$","MAIN_CATEGORY.@code","MAIN_CATEGORY.$","SUB_CATEGORY.@code","SUB_CATEGORY.$","STATISTICS_NAME_SPEC.TABULATION_CATEGORY","STATISTICS_NAME_SPEC.TABULATION_SUB_CATEGORY1","STATISTICS_NAME_SPEC.TABULATION_SUB_CATEGORY2","TITLE_SPEC.TABLE_CATEGORY","TITLE_SPEC.TABLE_NAME","TITLE_SPEC.TABLE_EXPLANATION"
"0003280058","農林水産物輸出入統計 確報 農林水産物輸出入概況（2015年）","農林水産物輸出入概況 ３　農林水産物（２０１５年輸出金額上位２０品目）の国・地域別輸出概況及び平均輸出価格　播種用の種等","年次","201501-201512","2019-02-06","0","該当なし","27","2019-02-07","","00500100","農林水産物輸出入統計","00500","農林水産省","16","国際","01","貿易・国際収支","農林水産物輸出入統計","確報","農林水産物輸出入概況（2015年）","農林水産物輸出入概況","３　農林水産物（２０１５年輸出金額上位２０品目）の国・地域別輸出概況及び平均輸出価格　播種用の種等",""
"0003280059","農林水産物輸出入統計 確報 農林水産物輸出入概況（2015年）","農林水産物輸出入概況 ３　農林水産物（２０１５年輸出金額上位２０品目）の国・地域別輸出概況及び平均輸出価格　ぶり","年次","201501-201512","2019-02-06","0","該当なし","27","2019-02-07","","00500100","農林水産物輸出入統計","00500","農林水産省","16","国際","01","貿易・国際収支","農林水産物輸出入統計","確報","農林水産物輸出入概況（2015年）","農林水産物輸出入概況","３　農林水産物（２０１５年輸出金額上位２０品目）の国・地域別輸出概況及び平均輸出価格　ぶり",""
"0003280080","農林水産物輸出入統計 確報 農林水産物輸出入概況（2015年）","農林水産物輸出入概況 ３　農林水産物（２０１５年輸出金額上位２０品目）の国・地域別輸出概況及び平均輸出価格　かつお・まぐろ類","年次","201501-201512","2019-02-06","0","該当なし","27","2019-02-07","","00500100","農林水産物輸出入統計","00500","農林水産省","16","国際","01","貿易・国際収支","農林水産物輸出入統計","確報","農林水産物輸出入概況（2015年）","農林水産物輸出入概況","３　農林水産物（２０１５年輸出金額上位２０品目）の国・地域別輸出概況及び平均輸出価格　かつお・まぐろ類",""
"0003280081","農林水産物輸出入統計 確報 農林水産物輸出入概況（2015年）","農林水産物輸出入概況 ３　農林水産物（２０１５年輸出金額上位２０品目）の国・地域別輸出概況及び平均輸出価格　りんご","年次","201501-201512","2019-02-06","0","該当なし","27","2019-02-07","","00500100","農林水産物輸出入統計","00500","農林水産省","16","国際","01","貿易・国際収支","農林水産物輸出入統計","確報","農林水産物輸出入概況（2015年）","農林水産物輸出入概況","３　農林水産物（２０１５年輸出金額上位２０品目）の国・地域別輸出概況及び平均輸出価格　りんご",""
"0003280082","農林水産物輸出入統計 確報 農林水産物輸出入概況（2015年）","農林水産物輸出入概況 ３　農林水産物（２０１５年輸出金額上位２０品目）の国・地域別輸出概況及び平均輸出価格　牛肉","年次","201501-201512","2019-02-06","0","該当なし","27","2019-02-07","","00500100","農林水産物輸出入統計","00500","農林水産省","16","国際","01","貿易・国際収支","農林水産物輸出入統計","確報","農林水産物輸出入概況（2015年）","農林水産物輸出入概況","３　農林水産物（２０１５年輸出金額上位２０品目）の国・地域別輸出概況及び平均輸出価格　牛肉",""
"0003280083","農林水産物輸出入統計 確報 農林水産物輸出入概況（2015年）","農林水産物輸出入概況 ３　農林水産物（２０１５年輸出金額上位２０品目）の国・地域別輸出概況及び平均輸出価格　乾燥なまこ","年次","201501-201512","2019-02-06","0","該当なし","27","2019-02-07","","00500100","農林水産物輸出入統計","00500","農林水産省","16","国際","01","貿易・国際収支","農林水産物輸出入統計","確報","農林水産物輸出入概況（2015年）","農林水産物輸出入概況","３　農林水産物（２０１５年輸出金額上位２０品目）の国・地域別輸出概況及び平均輸出価格　乾燥なまこ",""
"0003280084","農林水産物輸出入統計 確報 農林水産物輸出入概況（2015年）","農林水産物輸出入概況 ３　農林水産物（２０１５年輸出金額上位２０品目）の国・地域別輸出概況及び平均輸出価格　緑茶","年次","201501-201512","2019-02-06","0","該当なし","27","2019-02-07","","00500100","農林水産物輸出入統計","00500","農林水産省","16","国際","01","貿易・国際収支","農林水産物輸出入統計","確報","農林水産物輸出入概況（2015年）","農林水産物輸出入概況","３　農林水産物（２０１５年輸出金額上位２０品目）の国・地域別輸出概況及び平均輸出価格　緑茶",""
"0003280085","農林水産物輸出入統計 確報 農林水産物輸出入概況（2015年）","農林水産物輸出入概況 ３　農林水産物（２０１５年輸出金額上位２０品目）の国・地域別輸出概況及び平均輸出価格　丸太","年次","201501-201512","2019-02-06","0","該当なし","27","2019-02-07","","00500100","農林水産物輸出入統計","00500","農林水産省","16","国際","01","貿易・国際収支","農林水産物輸出入統計","確報","農林水産物輸出入概況（2015年）","農林水産物輸出入概況","３　農林水産物（２０１５年輸出金額上位２０品目）の国・地域別輸出概況及び平均輸出価格　丸太",""
"0003280086","農林水産物輸出入統計 確報 農林水産物輸出入概況（2015年）","農林水産物輸出入概況 ３　農林水産物（２０１５年輸出金額上位２０品目）の国・地域別輸出概況及び平均輸出価格　豚の皮","年次","201501-201512","2019-02-06","0","該当なし","27","2019-02-07","","00500100","農林水産物輸出入統計","00500","農林水産省","16","国際","01","貿易・国際収支","農林水産物輸出入統計","確報","農林水産物輸出入概況（2015年）","農林水産物輸出入概況","３　農林水産物（２０１５年輸出金額上位２０品目）の国・地域別輸出概況及び平均輸出価格　豚の皮",""
"0003280087","農林水産物輸出入統計 確報 農林水産物輸出入概況（2015年）","農林水産物輸出入概況 ３　農林水産物（２０１５年輸出金額上位２０品目）の国・地域別輸出概況及び平均輸出価格　配合調製飼料","年次","201501-201512","2019-02-06","0","該当なし","27","2019-02-07","","00500100","農林水産物輸出入統計","00500","農林水産省","16","国際","01","貿易・国際収支","農林水産物輸出入統計","確報","農林水産物輸出入概況（2015年）","農林水産物輸出入概況","３　農林水産物（２０１５年輸出金額上位２０品目）の国・地域別輸出概況及び平均輸出価格　配合調製飼料",""
"0003280088","農林水産物輸出入統計 確報 農林水産物輸出入概況（2015年）","農林水産物輸出入概況 ３　農林水産物（２０１５年輸出金額上位２０品目）の国・地域別輸出概況及び平均輸出価格　練り製品(魚肉ｿｰｾｰｼﾞ等)","年次","201501-201512","2019-02-06","0","該当なし","27","2019-02-07","","00500100","農林水産物輸出入統計","00500","農林水産省","16","国際","01","貿易・国際収支","農林水産物輸出入統計","確報","農林水産物輸出入概況（2015年）","農林水産物輸出入概況","３　農林水産物（２０１５年輸出金額上位２０品目）の国・地域別輸出概況及び平均輸出価格　練り製品(魚肉ｿｰｾｰｼﾞ等)",""
"0003280089","農林水産物輸出入統計 確報 農林水産物輸出入概況（2015年）","農林水産物輸出入概況 ３　農林水産物（２０１５年輸出金額上位２０品目）の国・地域別輸出概況及び平均輸出価格　小麦粉","年次","201501-201512","2019-02-06","0","該当なし","27","2019-02-07","","00500100","農林水産物輸出入統計","00500","農林水産省","16","国際","01","貿易・国際収支","農林水産物輸出入統計","確報","農林水産物輸出入概況（2015年）","農林水産物輸出入概況","３　農林水産物（２０１５年輸出金額上位２０品目）の国・地域別輸出概況及び平均輸出価格　小麦粉",""
