"@id","STATISTICS_NAME","CYCLE","SURVEY_DATE","OPEN_DATE","SMALL_AREA","COLLECT_AREA","OVERALL_TOTAL_NUMBER","UPDATED_DATE","DESCRIPTION","STAT_NAME.@code","STAT_NAME.$","GOV_ORG.@code","GOV_ORG.$","TITLE.@no","TITLE.$","MAIN_CATEGORY.@code","MAIN_CATEGORY.$","SUB_CATEGORY.@code","SUB_CATEGORY.$","STATISTICS_NAME_SPEC.TABULATION_CATEGORY","TITLE_SPEC.TABLE_CATEGORY","TITLE_SPEC.TABLE_NAME","TITLE_SPEC.TABLE_SUB_CATEGORY2","TITLE_SPEC.TABLE_SUB_CATEGORY1","TITLE","TITLE_SPEC.TABLE_SUB_CATEGORY3"
"0003173922","航空輸送統計調査","年度次","0","2024-07-03","0","該当なし","13464","2024-07-31","","00600360","航空輸送統計調査","00600","国土交通省","3","統計表 第3表 国内定期航空路線別、区間別、月別運航及び輸送実績 幹線 年度次","10","運輸・観光","01","運輸","航空輸送統計調査","統計表","第3表 国内定期航空路線別、区間別、月別運航及び輸送実績","年度次","幹線","",""
"0003173865","航空輸送統計調査","年度次","0","2024-06-28","0","該当なし","207","2024-06-28","","00600360","航空輸送統計調査","00600","国土交通省","4","統計表 第4表 国内不定期航空月別運航及び輸送実績 年度次","10","運輸・観光","01","運輸","航空輸送統計調査","統計表","第4表 国内不定期航空月別運航及び輸送実績","年度次","","",""
"0003173884","航空輸送統計調査","年度次","0","2024-06-28","0","該当なし","207","2024-06-28","","00600360","航空輸送統計調査","00600","国土交通省","4","統計表 第4表 国内不定期航空月別運航及び輸送実績 年次","10","運輸・観光","01","運輸","航空輸送統計調査","統計表","第4表 国内不定期航空月別運航及び輸送実績","年次","","",""
"0003173923","航空輸送統計調査","年度次","0","2024-06-28","0","該当なし","2535","2024-06-28","","00600360","航空輸送統計調査","00600","国土交通省","4","統計表 第4表 国内不定期航空月別運航及び輸送実績 月次","10","運輸・観光","01","運輸","航空輸送統計調査","統計表","第4表 国内不定期航空月別運航及び輸送実績","月次","","",""
"0003173885","航空輸送統計調査","年度次","0","2026-01-28","0","該当なし","289","2026-01-28","","00600360","航空輸送統計調査","00600","国土交通省","5","統計表 第5表 国際航空月別運航及び輸送実績 年度次","10","運輸・観光","01","運輸","航空輸送統計調査","統計表","第5表 国際航空月別運航及び輸送実績","年度次","","",""
"0003173904","航空輸送統計調査","年度次","0","2026-01-28","0","該当なし","3672","2026-01-28","","00600360","航空輸送統計調査","00600","国土交通省","5","統計表 第5表 国際航空月別運航及び輸送実績 月次","10","運輸・観光","01","運輸","航空輸送統計調査","統計表","第5表 国際航空月別運航及び輸送実績","月次","","",""
"0003173924","航空輸送統計調査","年度次","0","2024-06-28","0","該当なし","306","2024-06-28","","00600360","航空輸送統計調査","00600","国土交通省","5","統計表 第5表 国際航空月別運航及び輸送実績 年次","10","運輸・観光","01","運輸","航空輸送統計調査","統計表","第5表 国際航空月別運航及び輸送実績","年次","","",""
"0003173866","航空輸送統計調査","年度次","0","2026-01-28","0","該当なし","1767","2026-01-28","","00600360","航空輸送統計調査","00600","国土交通省","6","統計表 第6表 国際航空方面別輸送実績 旅客 月次","10","運輸・観光","01","運輸","航空輸送統計調査","統計表","第6表 国際航空方面別輸送実績","月次","旅客","",""
"0003173867","航空輸送統計調査","年度次","0","2026-01-28","0","該当なし","139","2026-01-28","","00600360","航空輸送統計調査","00600","国土交通省","6","統計表 第6表 国際航空方面別輸送実績 貨物 年次","10","運輸・観光","01","運輸","航空輸送統計調査","統計表","第6表 国際航空方面別輸送実績","年次","貨物","",""
"0003173886","航空輸送統計調査","年度次","0","2026-01-28","0","該当なし","1767","2026-01-28","","00600360","航空輸送統計調査","00600","国土交通省","6","統計表 第6表 国際航空方面別輸送実績 貨物 月次","10","運輸・観光","01","運輸","航空輸送統計調査","統計表","第6表 国際航空方面別輸送実績","月次","貨物","",""
"0003173905","航空輸送統計調査","年度次","0","2026-01-28","0","該当なし","139","2026-01-28","","00600360","航空輸送統計調査","00600","国土交通省","6","統計表 第6表 国際航空方面別輸送実績 旅客 年次","10","運輸・観光","01","運輸","航空輸送統計調査","統計表","第6表 国際航空方面別輸送実績","年次","旅客","",""
"0003173906","航空輸送統計調査","年度次","0","2026-01-28","0","該当なし","139","2026-01-28","","00600360","航空輸送統計調査","00600","国土交通省","6","統計表 第6表 国際航空方面別輸送実績 貨物 年度次","10","運輸・観光","01","運輸","航空輸送統計調査","統計表","第6表 国際航空方面別輸送実績","年度次","貨物","",""
"0003173925","航空輸送統計調査","年度次","0","2026-01-28","0","該当なし","139","2026-01-28","","00600360","航空輸送統計調査","00600","国土交通省","6","統計表 第6表 国際航空方面別輸送実績 旅客 年度次","10","運輸・観光","01","運輸","航空輸送統計調査","統計表","第6表 国際航空方面別輸送実績","年度次","旅客","",""
"0003173868","航空輸送統計調査","年度次","0","2024-06-28","0","該当なし","432","2024-06-28","","00600360","航空輸送統計調査","00600","国土交通省","7","統計表 第7表 航空運送事業・航空機使用事業月別、油種別、燃料消費量 年度次","10","運輸・観光","01","運輸","航空輸送統計調査","統計表","第7表 航空運送事業・航空機使用事業月別、油種別、燃料消費量","年度次","","",""
"0003173887","航空輸送統計調査","年度次","0","2024-06-28","0","該当なし","432","2024-06-28","","00600360","航空輸送統計調査","00600","国土交通省","7","統計表 第7表 航空運送事業・航空機使用事業月別、油種別、燃料消費量 年次","10","運輸・観光","01","運輸","航空輸送統計調査","統計表","第7表 航空運送事業・航空機使用事業月別、油種別、燃料消費量","年次","","",""
"0003173926","航空輸送統計調査","年度次","0","2024-06-28","0","該当なし","5256","2024-06-28","","00600360","航空輸送統計調査","00600","国土交通省","7","統計表 第7表 航空運送事業・航空機使用事業月別、油種別、燃料消費量 月次","10","運輸・観光","01","運輸","航空輸送統計調査","統計表","第7表 航空運送事業・航空機使用事業月別、油種別、燃料消費量","月次","","",""
"0003173907","航空輸送統計調査","年度次","0","2024-06-28","0","該当なし","12478","2024-06-28","","00600360","航空輸送統計調査","00600","国土交通省","9","統計表 第9表 国内定期航空空港間旅客流動表 年次","10","運輸・観光","01","運輸","航空輸送統計調査","統計表","第9表 国内定期航空空港間旅客流動表","年次","","",""
