"@id","STATISTICS_NAME","CYCLE","SURVEY_DATE","OPEN_DATE","SMALL_AREA","COLLECT_AREA","OVERALL_TOTAL_NUMBER","UPDATED_DATE","DESCRIPTION","STAT_NAME.@code","STAT_NAME.$","GOV_ORG.@code","GOV_ORG.$","TITLE.@no","TITLE.$","MAIN_CATEGORY.@code","MAIN_CATEGORY.$","SUB_CATEGORY.@code","SUB_CATEGORY.$","STATISTICS_NAME_SPEC.TABULATION_CATEGORY","STATISTICS_NAME_SPEC.TABULATION_SUB_CATEGORY1","STATISTICS_NAME_SPEC.TABULATION_SUB_CATEGORY2","TITLE_SPEC.TABLE_NAME"
"0003421731","個人企業経済調査 個人企業経済調査（2019年（令和元年）以降）","年次","202306","2024-03-01","0","全国","588","2024-03-01","","00200541","個人企業経済調査","00200","総務省","2702","産業大分類，事業所の開設時期，後継者の有無別企業分布　－全国","07","企業・家計・経済","01","企業活動","個人企業経済調査","個人企業経済調査（2019年（令和元年）以降）","","産業大分類，事業所の開設時期，後継者の有無別企業分布　－全国"
"0003421711","個人企業経済調査 個人企業経済調査（2019年（令和元年）以降）","年次","202306","2024-03-01","0","全国","980","2024-03-01","","00200541","個人企業経済調査","00200","総務省","2801","産業大分類，１年間の営業（操業）日数，営業用土地・建物の所有形態別企業分布－全国","07","企業・家計・経済","01","企業活動","個人企業経済調査","個人企業経済調査（2019年（令和元年）以降）","","産業大分類，１年間の営業（操業）日数，営業用土地・建物の所有形態別企業分布－全国"
"0003421732","個人企業経済調査 個人企業経済調査（2019年（令和元年）以降）","年次","202306","2024-03-01","0","全国","140","2024-03-01","","00200541","個人企業経済調査","00200","総務省","2802","産業大分類，営業用土地・建物の所有形態別１日の平均営業（操業）時間－全国","07","企業・家計・経済","01","企業活動","個人企業経済調査","個人企業経済調査（2019年（令和元年）以降）","","産業大分類，営業用土地・建物の所有形態別１日の平均営業（操業）時間－全国"
"0003421712","個人企業経済調査 個人企業経済調査（2019年（令和元年）以降）","年次","202306","2024-03-01","0","全国","1456","2024-03-01","","00200541","個人企業経済調査","00200","総務省","2901","産業大分類，チェーン組織への加盟の有無，事業経営上の問題点別企業分布　－全国","07","企業・家計・経済","01","企業活動","個人企業経済調査","個人企業経済調査（2019年（令和元年）以降）","","産業大分類，チェーン組織への加盟の有無，事業経営上の問題点別企業分布　－全国"
"0003421733","個人企業経済調査 個人企業経済調査（2019年（令和元年）以降）","年次","202306","2024-03-01","0","全国","2548","2024-03-01","","00200541","個人企業経済調査","00200","総務省","2902","産業大分類，パーソナルコンピュータの使用の有無， 事業経営上の問題点別企業分布　－全国","07","企業・家計・経済","01","企業活動","個人企業経済調査","個人企業経済調査（2019年（令和元年）以降）","","産業大分類，パーソナルコンピュータの使用の有無， 事業経営上の問題点別企業分布　－全国"
"0003421734","個人企業経済調査 個人企業経済調査（2019年（令和元年）以降）","年次","202306","2024-03-01","0","全国","1820","2024-03-01","","00200541","個人企業経済調査","00200","総務省","2903","産業大分類，営業用土地・建物の所有形態, 事業経営上の問題点別企業分布　－全国","07","企業・家計・経済","01","企業活動","個人企業経済調査","個人企業経済調査（2019年（令和元年）以降）","","産業大分類，営業用土地・建物の所有形態, 事業経営上の問題点別企業分布　－全国"
"0003421753","個人企業経済調査 個人企業経済調査（2019年（令和元年）以降）","年次","202306","2024-03-01","0","全国","2548","2024-03-01","","00200541","個人企業経済調査","00200","総務省","3001","産業大分類，１年間の営業（操業）日数，事業経営上の問題点別企業分布　－全国","07","企業・家計・経済","01","企業活動","個人企業経済調査","個人企業経済調査（2019年（令和元年）以降）","","産業大分類，１年間の営業（操業）日数，事業経営上の問題点別企業分布　－全国"
"0003421735","個人企業経済調査 個人企業経済調査（2019年（令和元年）以降）","年次","202306","2024-03-01","0","全国","364","2024-03-01","","00200541","個人企業経済調査","00200","総務省","3002","産業大分類，事業経営上の問題点別１日の平均営業（操業）時間　－全国","07","企業・家計・経済","01","企業活動","個人企業経済調査","個人企業経済調査（2019年（令和元年）以降）","","産業大分類，事業経営上の問題点別１日の平均営業（操業）時間　－全国"
"0003421736","個人企業経済調査 個人企業経済調査（2019年（令和元年）以降）","年次","202306","2024-03-01","0","全国","1344","2024-03-01","","00200541","個人企業経済調査","00200","総務省","3101","産業大分類，チェーン組織への加盟の有無，今後の事業展開別企業分布　－全国","07","企業・家計・経済","01","企業活動","個人企業経済調査","個人企業経済調査（2019年（令和元年）以降）","","産業大分類，チェーン組織への加盟の有無，今後の事業展開別企業分布　－全国"
"0003421754","個人企業経済調査 個人企業経済調査（2019年（令和元年）以降）","年次","202306","2024-03-01","0","全国","2352","2024-03-01","","00200541","個人企業経済調査","00200","総務省","3102","産業大分類，パーソナルコンピュータの使用の有無，今後の事業展開別企業分布　－全国","07","企業・家計・経済","01","企業活動","個人企業経済調査","個人企業経済調査（2019年（令和元年）以降）","","産業大分類，パーソナルコンピュータの使用の有無，今後の事業展開別企業分布　－全国"
