"@id","STATISTICS_NAME","TITLE","CYCLE","SURVEY_DATE","OPEN_DATE","SMALL_AREA","COLLECT_AREA","OVERALL_TOTAL_NUMBER","UPDATED_DATE","DESCRIPTION","STAT_NAME.@code","STAT_NAME.$","GOV_ORG.@code","GOV_ORG.$","MAIN_CATEGORY.@code","MAIN_CATEGORY.$","SUB_CATEGORY.@code","SUB_CATEGORY.$","STATISTICS_NAME_SPEC.TABULATION_CATEGORY","STATISTICS_NAME_SPEC.TABULATION_SUB_CATEGORY1","STATISTICS_NAME_SPEC.TABULATION_SUB_CATEGORY2","TITLE_SPEC.TABLE_CATEGORY","TITLE_SPEC.TABLE_NAME","TITLE_SPEC.TABLE_SUB_CATEGORY2","TITLE_SPEC.TABLE_SUB_CATEGORY1","TITLE_SPEC.TABLE_SUB_CATEGORY3","TITLE.@no","TITLE.$","STATISTICS_NAME_SPEC.TABULATION_SUB_CATEGORY3"
"0003033713","経済産業省生産動態統計 鉄鋼・非鉄金属・金属製品統計 確報（１）主要製品統計表(時系列表)","鉄鋼 (15)原材料 2、製鋼用原料消費量 鉄鋼編４","-","201001","2011-03-31","0","該当なし","312","2025-04-14","","00550200","経済産業省生産動態統計調査","00550","経済産業省","05","鉱工業","02","製造業","経済産業省生産動態統計","鉄鋼・非鉄金属・金属製品統計","確報（１）主要製品統計表(時系列表)","鉄鋼","(15)原材料","鉄鋼編４","2、製鋼用原料消費量","","","",""
"0003033729","経済産業省生産動態統計 鉄鋼・非鉄金属・金属製品統計 確報（１）主要製品統計表(時系列表)","非鉄金属 1、非鉄金属 3、非鉄金属製品 非鉄金属編","-","201001","2011-03-31","0","該当なし","858","2025-04-14","","00550200","経済産業省生産動態統計調査","00550","経済産業省","05","鉱工業","02","製造業","経済産業省生産動態統計","鉄鋼・非鉄金属・金属製品統計","確報（１）主要製品統計表(時系列表)","非鉄金属","1、非鉄金属","非鉄金属編","3、非鉄金属製品","","","",""
"0003033741","経済産業省生産動態統計 鉄鋼・非鉄金属・金属製品統計 確報（１）主要製品統計表(時系列表)","金属製品 1、金属製品 1、鉄構物及び架線金物 金属製品編","-","201001","2011-03-31","0","該当なし","260","2025-04-14","","00550200","経済産業省生産動態統計調査","00550","経済産業省","05","鉱工業","02","製造業","経済産業省生産動態統計","鉄鋼・非鉄金属・金属製品統計","確報（１）主要製品統計表(時系列表)","金属製品","1、金属製品","金属製品編","1、鉄構物及び架線金物","","","",""
"0003033742","経済産業省生産動態統計 鉄鋼・非鉄金属・金属製品統計 確報（１）主要製品統計表(時系列表)","金属製品 1、金属製品 2、ばね 金属製品編","-","201001","2011-03-31","0","該当なし","312","2025-04-14","","00550200","経済産業省生産動態統計調査","00550","経済産業省","05","鉱工業","02","製造業","経済産業省生産動態統計","鉄鋼・非鉄金属・金属製品統計","確報（１）主要製品統計表(時系列表)","金属製品","1、金属製品","金属製品編","2、ばね","","","",""
"0003033743","経済産業省生産動態統計 鉄鋼・非鉄金属・金属製品統計 確報（１）主要製品統計表(時系列表)","金属製品 1、金属製品 3、弁及び管継手 金属製品編","-","201001","2011-03-31","0","該当なし","390","2025-04-14","","00550200","経済産業省生産動態統計調査","00550","経済産業省","05","鉱工業","02","製造業","経済産業省生産動態統計","鉄鋼・非鉄金属・金属製品統計","確報（１）主要製品統計表(時系列表)","金属製品","1、金属製品","金属製品編","3、弁及び管継手","","","",""
"0003033744","経済産業省生産動態統計 鉄鋼・非鉄金属・金属製品統計 確報（１）主要製品統計表(時系列表)","金属製品 1、金属製品 4、空気動工具、作業工具及び機械刃物 金属製品編","-","201001","2011-03-31","0","該当なし","312","2025-04-14","","00550200","経済産業省生産動態統計調査","00550","経済産業省","05","鉱工業","02","製造業","経済産業省生産動態統計","鉄鋼・非鉄金属・金属製品統計","確報（１）主要製品統計表(時系列表)","金属製品","1、金属製品","金属製品編","4、空気動工具、作業工具及び機械刃物","","","",""
"0003033745","経済産業省生産動態統計 鉄鋼・非鉄金属・金属製品統計 確報（１）主要製品統計表(時系列表)","金属製品 1、金属製品 7、鍛工品 金属製品編","-","201001","2011-03-31","0","該当なし","156","2025-04-14","","00550200","経済産業省生産動態統計調査","00550","経済産業省","05","鉱工業","02","製造業","経済産業省生産動態統計","鉄鋼・非鉄金属・金属製品統計","確報（１）主要製品統計表(時系列表)","金属製品","1、金属製品","金属製品編","7、鍛工品","","","",""
"0003033746","経済産業省生産動態統計 鉄鋼・非鉄金属・金属製品統計 確報（１）主要製品統計表(時系列表)","金属製品 1、金属製品 8、銑鉄鋳物 金属製品編","-","201001","2011-03-31","0","該当なし","104","2025-04-14","","00550200","経済産業省生産動態統計調査","00550","経済産業省","05","鉱工業","02","製造業","経済産業省生産動態統計","鉄鋼・非鉄金属・金属製品統計","確報（１）主要製品統計表(時系列表)","金属製品","1、金属製品","金属製品編","8、銑鉄鋳物","","","",""
"0003033747","経済産業省生産動態統計 鉄鋼・非鉄金属・金属製品統計 確報（１）主要製品統計表(時系列表)","金属製品 1、金属製品 6、粉末や金製品 金属製品編","-","201001","2011-03-31","0","該当なし","104","2025-04-14","","00550200","経済産業省生産動態統計調査","00550","経済産業省","05","鉱工業","02","製造業","経済産業省生産動態統計","鉄鋼・非鉄金属・金属製品統計","確報（１）主要製品統計表(時系列表)","金属製品","1、金属製品","金属製品編","6、粉末や金製品","","","",""
"0003033748","経済産業省生産動態統計 鉄鋼・非鉄金属・金属製品統計 確報（１）主要製品統計表(時系列表)","金属製品 1、金属製品 5、ガス機器及び石油機器 金属製品編","-","201001","2011-03-31","0","該当なし","520","2025-04-14","","00550200","経済産業省生産動態統計調査","00550","経済産業省","05","鉱工業","02","製造業","経済産業省生産動態統計","鉄鋼・非鉄金属・金属製品統計","確報（１）主要製品統計表(時系列表)","金属製品","1、金属製品","金属製品編","5、ガス機器及び石油機器","","","",""
