"@id","STATISTICS_NAME","CYCLE","SURVEY_DATE","OPEN_DATE","SMALL_AREA","COLLECT_AREA","OVERALL_TOTAL_NUMBER","UPDATED_DATE","DESCRIPTION","STAT_NAME.@code","STAT_NAME.$","GOV_ORG.@code","GOV_ORG.$","TITLE.@no","TITLE.$","MAIN_CATEGORY.@code","MAIN_CATEGORY.$","SUB_CATEGORY.@code","SUB_CATEGORY.$","STATISTICS_NAME_SPEC.TABULATION_CATEGORY","STATISTICS_NAME_SPEC.TABULATION_SUB_CATEGORY1","TITLE_SPEC.TABLE_NAME","TITLE_SPEC.TABLE_CATEGORY"
"0000130664","科学技術研究調査 1999年（平成11年）科学技術研究調査","-","199903","2019-07-01","0","該当なし","420","2024-12-13","","00200543","科学技術研究調査","00200","総務省","01703","研究機関、研究本務者規模（３）、組織（５）、研究関係従事者数，内部使用研究費，受入研究費，外部支出研究費（２８）","11","情報通信・科学技術","02","科学技術","科学技術研究調査","1999年（平成11年）科学技術研究調査","研究機関、研究本務者規模（３）、組織（５）、研究関係従事者数，内部使用研究費，受入研究費，外部支出研究費（２８）",""
"0000130665","科学技術研究調査 1999年（平成11年）科学技術研究調査","-","199903","2019-07-01","0","該当なし","336","2024-12-13","","00200543","科学技術研究調査","00200","総務省","01801","研究機関、学問（１２）、専門別（２８）、研究本務者数","11","情報通信・科学技術","02","科学技術","科学技術研究調査","1999年（平成11年）科学技術研究調査","研究機関、学問（１２）、専門別（２８）、研究本務者数",""
"0000130666","科学技術研究調査 1999年（平成11年）科学技術研究調査","-","199903","2019-07-01","0","該当なし","896","2024-12-13","","00200543","科学技術研究調査","00200","総務省","01802","研究機関、組織（４）、学問（８）、専門別（２８）、研究本務者数","11","情報通信・科学技術","02","科学技術","科学技術研究調査","1999年（平成11年）科学技術研究調査","研究機関、組織（４）、学問（８）、専門別（２８）、研究本務者数",""
"0000130667","科学技術研究調査 1999年（平成11年）科学技術研究調査","-","199903","2019-07-01","0","該当なし","224","2024-12-13","","00200543","科学技術研究調査","00200","総務省","01803","研究機関、学問（８）、専門別（２８）、研究本務者数（女）","11","情報通信・科学技術","02","科学技術","科学技術研究調査","1999年（平成11年）科学技術研究調査","研究機関、学問（８）、専門別（２８）、研究本務者数（女）",""
"0000130668","科学技術研究調査 1999年（平成11年）科学技術研究調査","-","199903","2019-07-01","0","該当なし","60","2024-12-13","","00200543","科学技術研究調査","00200","総務省","01901","研究機関、学問（１２）、研究機関数・性格別内部使用研究費（５）","11","情報通信・科学技術","02","科学技術","科学技術研究調査","1999年（平成11年）科学技術研究調査","研究機関、学問（１２）、研究機関数・性格別内部使用研究費（５）",""
"0000130669","科学技術研究調査 1999年（平成11年）科学技術研究調査","-","199903","2019-07-01","0","該当なし","160","2024-12-13","","00200543","科学技術研究調査","00200","総務省","01902","研究機関、組織（４）、学問（８）、研究機関数・性格別内部使用研究費（５）","11","情報通信・科学技術","02","科学技術","科学技術研究調査","1999年（平成11年）科学技術研究調査","研究機関、組織（４）、学問（８）、研究機関数・性格別内部使用研究費（５）",""
"0000130670","科学技術研究調査 1999年（平成11年）科学技術研究調査","-","199903","2019-07-01","0","該当なし","75","2024-12-13","","00200543","科学技術研究調査","00200","総務省","01903","研究機関、研究本務者規模（３）、組織（５）、研究機関数・性格別内部使用研究費（５）","11","情報通信・科学技術","02","科学技術","科学技術研究調査","1999年（平成11年）科学技術研究調査","研究機関、研究本務者規模（３）、組織（５）、研究機関数・性格別内部使用研究費（５）",""
"0000130671","科学技術研究調査 1999年（平成11年）科学技術研究調査","-","199903","2019-07-01","0","該当なし","192","2024-12-13","","00200543","科学技術研究調査","00200","総務省","02001","研究機関、学問（１２）、特定目的別内部使用研究費（１６）","11","情報通信・科学技術","02","科学技術","科学技術研究調査","1999年（平成11年）科学技術研究調査","研究機関、学問（１２）、特定目的別内部使用研究費（１６）",""
"0000130672","科学技術研究調査 1999年（平成11年）科学技術研究調査","-","199903","2019-07-01","0","該当なし","512","2024-12-13","","00200543","科学技術研究調査","00200","総務省","02002","研究機関、組織（４）、学問（８）、特定目的別内部使用研究費（１６）","11","情報通信・科学技術","02","科学技術","科学技術研究調査","1999年（平成11年）科学技術研究調査","研究機関、組織（４）、学問（８）、特定目的別内部使用研究費（１６）",""
"0000130673","科学技術研究調査 1999年（平成11年）科学技術研究調査","-","199903","2019-07-01","0","該当なし","240","2024-12-13","","00200543","科学技術研究調査","00200","総務省","02003","研究機関、研究本務者規模（３）、組織（５）、特定目的別内部使用研究費（１６）","11","情報通信・科学技術","02","科学技術","科学技術研究調査","1999年（平成11年）科学技術研究調査","研究機関、研究本務者規模（３）、組織（５）、特定目的別内部使用研究費（１６）",""
