"@id","STATISTICS_NAME","CYCLE","SURVEY_DATE","OPEN_DATE","SMALL_AREA","COLLECT_AREA","OVERALL_TOTAL_NUMBER","UPDATED_DATE","DESCRIPTION","STAT_NAME.@code","STAT_NAME.$","GOV_ORG.@code","GOV_ORG.$","TITLE.@no","TITLE.$","MAIN_CATEGORY.@code","MAIN_CATEGORY.$","SUB_CATEGORY.@code","SUB_CATEGORY.$","STATISTICS_NAME_SPEC.TABULATION_CATEGORY","STATISTICS_NAME_SPEC.TABULATION_SUB_CATEGORY1","TITLE_SPEC.TABLE_CATEGORY","TITLE_SPEC.TABLE_NAME","TITLE_SPEC.TABLE_SUB_CATEGORY1"
"0003064653","経済産業省特定業種石油等消費統計 確報","月次","201101","2012-03-31","0","該当なし","110","2013-04-11","","00550210","経済産業省特定業種石油等消費動態統計調査","00550","経済産業省","1-14","確報 電力・蒸気受払(蒸気受払) 2011年1月","09","エネルギー・水","03","エネルギー需給","経済産業省特定業種石油等消費統計","確報","確報","電力・蒸気受払(蒸気受払)","2011年1月"
"0003014215","経済産業省特定業種石油等消費統計 確報","月次","200901","2010-03-22","0","該当なし","391","2010-03-22","","00550210","経済産業省特定業種石油等消費動態統計調査","00550","経済産業省","1-15","確報 指定生産品目別統計　紙・化繊・石油・硝子　直接投入エネルギー表 年計","09","エネルギー・水","03","エネルギー需給","経済産業省特定業種石油等消費統計","確報","確報","指定生産品目別統計　紙・化繊・石油・硝子　直接投入エネルギー表","年計"
"0003031849","経済産業省特定業種石油等消費統計 確報","月次","201001","2011-03-31","0","該当なし","391","2011-05-31","","00550210","経済産業省特定業種石油等消費動態統計調査","00550","経済産業省","1-15","確報 紙・化繊・石油・硝子(直接投入エネルギー表) 2010年1月","09","エネルギー・水","03","エネルギー需給","経済産業省特定業種石油等消費統計","確報","確報","紙・化繊・石油・硝子(直接投入エネルギー表)","2010年1月"
"0003064654","経済産業省特定業種石油等消費統計 確報","月次","201101","2012-03-31","0","該当なし","459","2013-04-11","","00550210","経済産業省特定業種石油等消費動態統計調査","00550","経済産業省","1-15","確報 紙・化繊・石油・硝子(直接投入エネルギー表) 2011年1月","09","エネルギー・水","03","エネルギー需給","経済産業省特定業種石油等消費統計","確報","確報","紙・化繊・石油・硝子(直接投入エネルギー表)","2011年1月"
"0003014222","経済産業省特定業種石油等消費統計 確報","月次","200901","2010-03-22","0","該当なし","408","2010-03-22","","00550210","経済産業省特定業種石油等消費動態統計調査","00550","経済産業省","1-16","確報 指定生産品目別統計　紙・化繊・石油・硝子　一次投入燃料換算表 年計","09","エネルギー・水","03","エネルギー需給","経済産業省特定業種石油等消費統計","確報","確報","指定生産品目別統計　紙・化繊・石油・硝子　一次投入燃料換算表","年計"
"0003031850","経済産業省特定業種石油等消費統計 確報","月次","201001","2011-03-31","0","該当なし","408","2011-05-31","","00550210","経済産業省特定業種石油等消費動態統計調査","00550","経済産業省","1-16","確報 紙・化繊・石油・硝子(一次投入燃料換算表) 2010年1月","09","エネルギー・水","03","エネルギー需給","経済産業省特定業種石油等消費統計","確報","確報","紙・化繊・石油・硝子(一次投入燃料換算表)","2010年1月"
"0003064655","経済産業省特定業種石油等消費統計 確報","月次","201101","2012-03-31","0","該当なし","475","2013-04-11","","00550210","経済産業省特定業種石油等消費動態統計調査","00550","経済産業省","1-16","確報 紙・化繊・石油・硝子(一次投入燃料換算表) 2011年1月","09","エネルギー・水","03","エネルギー需給","経済産業省特定業種石油等消費統計","確報","確報","紙・化繊・石油・硝子(一次投入燃料換算表)","2011年1月"
"0003014216","経済産業省特定業種石油等消費統計 確報","月次","200901","2010-03-22","0","該当なし","600","2010-03-22","","00550210","経済産業省特定業種石油等消費動態統計調査","00550","経済産業省","1-17","確報 指定生産品目別統計　化学 年計","09","エネルギー・水","03","エネルギー需給","経済産業省特定業種石油等消費統計","確報","確報","指定生産品目別統計　化学","年計"
"0003031851","経済産業省特定業種石油等消費統計 確報","月次","201001","2011-03-31","0","該当なし","600","2011-05-31","","00550210","経済産業省特定業種石油等消費動態統計調査","00550","経済産業省","1-17","確報 化学　指定生産品目別統計 2010年1月","09","エネルギー・水","03","エネルギー需給","経済産業省特定業種石油等消費統計","確報","確報","化学　指定生産品目別統計","2010年1月"
"0003064656","経済産業省特定業種石油等消費統計 確報","月次","201101","2012-03-31","0","該当なし","679","2013-04-11","","00550210","経済産業省特定業種石油等消費動態統計調査","00550","経済産業省","1-17","確報 化学　指定生産品目別統計 2011年1月","09","エネルギー・水","03","エネルギー需給","経済産業省特定業種石油等消費統計","確報","確報","化学　指定生産品目別統計","2011年1月"
"0003014217","経済産業省特定業種石油等消費統計 確報","月次","200901","2010-03-22","0","該当なし","480","2010-03-22","","00550210","経済産業省特定業種石油等消費動態統計調査","00550","経済産業省","1-18","確報 指定生産品目別統計　窯業土石 年計","09","エネルギー・水","03","エネルギー需給","経済産業省特定業種石油等消費統計","確報","確報","指定生産品目別統計　窯業土石","年計"
