"@id","STATISTICS_NAME","CYCLE","SURVEY_DATE","OPEN_DATE","SMALL_AREA","COLLECT_AREA","OVERALL_TOTAL_NUMBER","UPDATED_DATE","DESCRIPTION","STAT_NAME.@code","STAT_NAME.$","GOV_ORG.@code","GOV_ORG.$","TITLE.@no","TITLE.$","MAIN_CATEGORY.@code","MAIN_CATEGORY.$","SUB_CATEGORY.@code","SUB_CATEGORY.$","STATISTICS_NAME_SPEC.TABULATION_CATEGORY","TITLE_SPEC.TABLE_CATEGORY","TITLE_SPEC.TABLE_NAME","TITLE_SPEC.TABLE_EXPLANATION"
"0003386177","経済産業省企業金融調査","年次","201401-201412","2019-12-18","0","該当なし","2052","2019-12-19","","00550500","経済産業省企業金融調査","00550","経済産業省","1","基本集計 資金運用〔設備投資、投資、融資、長期借入金返済、短期借入金返済、社債償還、自己株式取得、配当金支払〕","07","企業・家計・経済","01","企業活動","経済産業省企業金融調査","基本集計","資金運用〔設備投資、投資、融資、長期借入金返済、短期借入金返済、社債償還、自己株式取得、配当金支払〕",""
"0003386214","経済産業省企業金融調査","-","201301-201312","2019-12-18","0","該当なし","814","2019-12-19","","00550500","経済産業省企業金融調査","00550","経済産業省","10","取得設備投資額の構成比及び寄与率","07","企業・家計・経済","01","企業活動","経済産業省企業金融調査","","取得設備投資額の構成比及び寄与率",""
"0003386215","経済産業省企業金融調査","-","201301-201312","2019-12-18","0","該当なし","2088","2019-12-19","","00550500","経済産業省企業金融調査","00550","経済産業省","10-4","取得設備投資額の構成比及び寄与率 (4) 目的別設備投資の構成比(業種別)","07","企業・家計・経済","01","企業活動","経済産業省企業金融調査","","取得設備投資額の構成比及び寄与率 (4) 目的別設備投資の構成比(業種別)",""
"0003386216","経済産業省企業金融調査","-","201301-201312","2019-12-18","0","該当なし","540","2019-12-19","","00550500","経済産業省企業金融調査","00550","経済産業省","18-1-1","資金調達環境について (１)資金調達・運用状況について (資金運用)","07","企業・家計・経済","01","企業活動","経済産業省企業金融調査","","資金調達環境について (１)資金調達・運用状況について (資金運用)",""
"0003386217","経済産業省企業金融調査","-","201301-201312","2019-12-18","0","該当なし","600","2019-12-19","","00550500","経済産業省企業金融調査","00550","経済産業省","18-1-2","資金調達環境について (１)資金調達・運用状況について（資金調達）","07","企業・家計・経済","01","企業活動","経済産業省企業金融調査","","資金調達環境について (１)資金調達・運用状況について（資金調達）","注：回答企業数が２社以下の業種については、割合のみを記載。"
"0003386218","経済産業省企業金融調査","-","201301-201312","2019-12-18","0","該当なし","3440","2019-12-19","","00550500","経済産業省企業金融調査","00550","経済産業省","18-1-4","資金調達環境について (１)資金調達・運用状況について 4.主要業種別の資金調達・運用　実績／実績見込／計画（資金運用）","07","企業・家計・経済","01","企業活動","経済産業省企業金融調査","","資金調達環境について (１)資金調達・運用状況について 4.主要業種別の資金調達・運用　実績／実績見込／計画（資金運用）","注：回答企業が２社以下の業種については、割合のみを記載。これに伴い必要な修正も加えている。"
"0003386219","経済産業省企業金融調査","-","201301-201312","2019-12-18","0","該当なし","5160","2019-12-19","","00550500","経済産業省企業金融調査","00550","経済産業省","18-1-4","資金調達環境について (１)資金調達・運用状況について 4.主要業種別の資金調達・運用　実績／実績見込／計画（資金運用構成比・伸び率）","07","企業・家計・経済","01","企業活動","経済産業省企業金融調査","","資金調達環境について (１)資金調達・運用状況について 4.主要業種別の資金調達・運用　実績／実績見込／計画（資金運用構成比・伸び率）","注：回答企業が２社以下の業種については、割合のみを記載。これに伴い必要な修正も加えている。"
"0003386220","経済産業省企業金融調査","-","201301-201312","2019-12-18","0","該当なし","3784","2019-12-19","","00550500","経済産業省企業金融調査","00550","経済産業省","18-1-4","資金調達環境について (１)資金調達・運用状況について 4.主要業種別の資金調達・運用　実績／実績見込／計画（資金調達）","07","企業・家計・経済","01","企業活動","経済産業省企業金融調査","","資金調達環境について (１)資金調達・運用状況について 4.主要業種別の資金調達・運用　実績／実績見込／計画（資金調達）","注：回答企業数が２社以下の業種については、割合のみを記載。"
"0003386221","経済産業省企業金融調査","-","201301-201312","2019-12-18","0","該当なし","5676","2019-12-19","","00550500","経済産業省企業金融調査","00550","経済産業省","18-1-4","資金調達環境について (１)資金調達・運用状況について 4.主要業種別の資金調達・運用　実績／実績見込／計画（資金調達構成比・伸び率）","07","企業・家計・経済","01","企業活動","経済産業省企業金融調査","","資金調達環境について (１)資金調達・運用状況について 4.主要業種別の資金調達・運用　実績／実績見込／計画（資金調達構成比・伸び率）","注：回答企業数が２社以下の業種については、割合のみを記載。"
"0003386222","経済産業省企業金融調査","-","201301-201312","2019-12-18","0","該当なし","656","2019-12-19","","00550500","経済産業省企業金融調査","00550","経済産業省","19-1","海外設備投資実績及び計画　(１)海外設備投資額《大分類》","07","企業・家計・経済","01","企業活動","経済産業省企業金融調査","","海外設備投資実績及び計画　(１)海外設備投資額《大分類》","注：回答企業が２社以下の業種については、割合のみを記載。これに伴い必要な修正も加えている。"
"0003386223","経済産業省企業金融調査","-","201301-201312","2019-12-18","0","該当なし","2160","2019-12-19","","00550500","経済産業省企業金融調査","00550","経済産業省","19-2","海外設備投資実績及び計画　(２)海外設備投資額《細分類》","07","企業・家計・経済","01","企業活動","経済産業省企業金融調査","","海外設備投資実績及び計画　(２)海外設備投資額《細分類》","注：回答企業が２社以下の業種については、割合のみを記載。これに伴い必要な修正も加えている。"
"0003386178","経済産業省企業金融調査","年次","201401-201412","2019-12-18","0","該当なし","2166","2019-12-19","","00550500","経済産業省企業金融調査","00550","経済産業省","2","基本集計 資金調達〔自己資金、投資回収、融資回収、長期借入金、短期借入金、社債、株式、資産売却・流動化〕","07","企業・家計・経済","01","企業活動","経済産業省企業金融調査","基本集計","資金調達〔自己資金、投資回収、融資回収、長期借入金、短期借入金、社債、株式、資産売却・流動化〕",""
"0003386224","経済産業省企業金融調査","-","201301-201312","2019-12-18","0","該当なし","440","2019-12-19","","00550500","経済産業省企業金融調査","00550","経済産業省","20","主要機関別設備投資調査結果","07","企業・家計・経済","01","企業活動","経済産業省企業金融調査","","主要機関別設備投資調査結果",""
"0003386179","経済産業省企業金融調査","年次","201401-201412","2019-12-18","0","該当なし","1026","2019-12-19","","00550500","経済産業省企業金融調査","00550","経済産業省","3","基本集計 投資〔投資先別構成比〕","07","企業・家計・経済","01","企業活動","経済産業省企業金融調査","基本集計","投資〔投資先別構成比〕",""
"0003386180","経済産業省企業金融調査","年次","201401-201412","2019-12-18","0","該当なし","1026","2019-12-19","","00550500","経済産業省企業金融調査","00550","経済産業省","3","基本集計 投資〔目的別構成比〕","07","企業・家計・経済","01","企業活動","経済産業省企業金融調査","基本集計","投資〔目的別構成比〕",""
"0003386207","経済産業省企業金融調査","-","201301-201312","2019-12-18","0","該当なし","624","2019-12-19","","00550500","経済産業省企業金融調査","00550","経済産業省","3-1","国内設備投資実績及び計画(１)取得設備投資額《大分類》","07","企業・家計・経済","01","企業活動","経済産業省企業金融調査","","国内設備投資実績及び計画(１)取得設備投資額《大分類》","注：回答企業が２社以下の業種については、割合のみを記載。これに伴い必要な修正も加えている。"
"0003386208","経済産業省企業金融調査","-","201301-201312","2019-12-18","0","該当なし","2160","2019-12-19","","00550500","経済産業省企業金融調査","00550","経済産業省","3-2","国内設備投資実績及び計画(２)取得設備投資額《細分類》","07","企業・家計・経済","01","企業活動","経済産業省企業金融調査","","国内設備投資実績及び計画(２)取得設備投資額《細分類》","注：回答企業が２社以下の業種については、割合のみを記載。これに伴い必要な修正も加えている。"
"0003386209","経済産業省企業金融調査","-","201301-201312","2019-12-18","0","該当なし","952","2019-12-19","","00550500","経済産業省企業金融調査","00550","経済産業省","3-3","国内設備投資実績及び計画(３)売上高に対する設備投資額","07","企業・家計・経済","01","企業活動","経済産業省企業金融調査","","国内設備投資実績及び計画(３)売上高に対する設備投資額","注１：金額は全社ベース、大分類業種名は主業種名である。<br>注２：回答企業が２社以下の業種については、割合のみを記載。"
