"@id","STATISTICS_NAME","TITLE","CYCLE","SURVEY_DATE","OPEN_DATE","SMALL_AREA","COLLECT_AREA","OVERALL_TOTAL_NUMBER","UPDATED_DATE","DESCRIPTION","STAT_NAME.@code","STAT_NAME.$","GOV_ORG.@code","GOV_ORG.$","MAIN_CATEGORY.@code","MAIN_CATEGORY.$","SUB_CATEGORY.@code","SUB_CATEGORY.$","STATISTICS_NAME_SPEC.TABULATION_CATEGORY","STATISTICS_NAME_SPEC.TABULATION_SUB_CATEGORY1","TITLE_SPEC.TABLE_NAME","TITLE_SPEC.TABLE_EXPLANATION"
"0003271949","少年矯正統計 少年院","出院者中収容を継続された者の収容継続事由別　収容継続期間　～2014年","年次","201601-201612","2019-03-29","0","該当なし","1323","2019-11-27","","00250006","少年矯正統計調査","00250","法務省","14","司法・安全・環境","01","司法","少年矯正統計","少年院","出院者中収容を継続された者の収容継続事由別　収容継続期間　～2014年",""
"0003271950","少年矯正統計 少年院","出院者中収容を継続された者の収容継続事由別　収容継続期間　2015年～","年次","202101-202112","2023-07-31","0","該当なし","1080","2023-11-09","","00250006","少年矯正統計調査","00250","法務省","14","司法・安全・環境","01","司法","少年矯正統計","少年院","出院者中収容を継続された者の収容継続事由別　収容継続期間　2015年～","（注）「少年院法第137条によるもの」は旧法の「第11条第１項によるもの」、「同法第138条によるもの」は旧法の「同条第４項によるもの」、「同法第139条によるもの」は旧法の「同条第５項によるもの」の人員を、それぞれ含んでいる。『各統計表の詳細については、「政府統計ＵＲＬ（https://www.moj.go.jp/housei/toukei/toukei_index2.html）」「用語の解説」等を参照』"
"0003281203","少年矯正統計 少年院","出院者中休養した者の病名別　休養人員及び平均休養日数","年次","202101-202112","2023-07-31","0","該当なし","7029","2023-11-09","","00250006","少年矯正統計調査","00250","法務省","14","司法・安全・環境","01","司法","少年矯正統計","少年院","出院者中休養した者の病名別　休養人員及び平均休養日数","『各統計表の詳細については、「政府統計ＵＲＬ（https://www.moj.go.jp/housei/toukei/toukei_index2.html）」「用語の解説」等を参照』"
"0003284062","少年矯正統計 少年院","出院者中休養した者の在院期間別　休養人員、休養延日数及び平均休養日数","年次","202101-202112","2023-07-31","0","該当なし","3996","2023-11-09","","00250006","少年矯正統計調査","00250","法務省","14","司法・安全・環境","01","司法","少年矯正統計","少年院","出院者中休養した者の在院期間別　休養人員、休養延日数及び平均休養日数","『各統計表の詳細については、「政府統計ＵＲＬ（https://www.moj.go.jp/housei/toukei/toukei_index2.html）」「用語の解説」等を参照』"
"0003286600","少年矯正統計 少年院","家庭裁判所別　新収容者の非行名","年次","202101-202112","2023-07-31","0","該当なし","52005","2023-11-09","","00250006","少年矯正統計調査","00250","法務省","14","司法・安全・環境","01","司法","少年矯正統計","少年院","家庭裁判所別　新収容者の非行名","『各統計表の詳細については、「政府統計ＵＲＬ（https://www.moj.go.jp/housei/toukei/toukei_index2.html）」「用語の解説」等を参照』"
"0003286981","少年矯正統計 少年院","少年院別　入出院事由別人員及び１日平均収容人員","年次","202101-202112","2023-07-31","0","該当なし","55407","2023-11-09","","00250006","少年矯正統計調査","00250","法務省","14","司法・安全・環境","01","司法","少年矯正統計","少年院","少年院別　入出院事由別人員及び１日平均収容人員","『各統計表の詳細については、「政府統計ＵＲＬ（https://www.moj.go.jp/housei/toukei/toukei_index2.html）」「用語の解説」等を参照』"
"0003286982","少年矯正統計 少年院","少年院別　年末在院者の処遇課程等","年次","201401-201412","2019-03-29","0","該当なし","12132","2021-10-20","","00250006","少年矯正統計調査","00250","法務省","14","司法・安全・環境","01","司法","少年矯正統計","少年院","少年院別　年末在院者の処遇課程等","（注）処遇課程等は，政府統計URL(http://www.moj.go.jp/housei/toukei/toukei_index2.html)「用語の解説」内の「少年院の処遇課程等区分表」参照"
"0003286983","少年矯正統計 少年院","少年院別　年末在院者の少年院の種類・処遇区分","年次","201401-201412","2019-03-29","0","該当なし","7480","2021-10-20","","00250006","少年矯正統計調査","00250","法務省","14","司法・安全・環境","01","司法","少年矯正統計","少年院","少年院別　年末在院者の少年院の種類・処遇区分",""
"0003286984","少年矯正統計 少年院","少年院別　年末在院者の少年院の種類・矯正教育課程","年次","202101-202112","2023-07-31","0","該当なし","9190","2023-11-09","","00250006","少年矯正統計調査","00250","法務省","14","司法・安全・環境","01","司法","少年矯正統計","少年院","少年院別　年末在院者の少年院の種類・矯正教育課程","『各統計表の詳細については、「政府統計ＵＲＬ（https://www.moj.go.jp/housei/toukei/toukei_index2.html）」「用語の解説」等を参照』"
"0003286985","少年矯正統計 少年院","少年院別　年末在院者の処遇の段階","年次","202101-202112","2023-07-31","0","該当なし","6326","2023-11-09","","00250006","少年矯正統計調査","00250","法務省","14","司法・安全・環境","01","司法","少年矯正統計","少年院","少年院別　年末在院者の処遇の段階","『各統計表の詳細については、「政府統計ＵＲＬ（https://www.moj.go.jp/housei/toukei/toukei_index2.html）」「用語の解説」等を参照』"
"0003286986","少年矯正統計 少年院","少年院別　新収容者の非行名","年次","202101-202112","2023-07-31","0","該当なし","58286","2023-11-09","","00250006","少年矯正統計調査","00250","法務省","14","司法・安全・環境","01","司法","少年矯正統計","少年院","少年院別　新収容者の非行名","『各統計表の詳細については、「政府統計ＵＲＬ（https://www.moj.go.jp/housei/toukei/toukei_index2.html）」「用語の解説」等を参照』"
"0003286987","少年矯正統計 少年院","少年院別　新収容者の年齢","年次","202101-202112","2023-07-31","0","該当なし","11082","2023-11-09","","00250006","少年矯正統計調査","00250","法務省","14","司法・安全・環境","01","司法","少年矯正統計","少年院","少年院別　新収容者の年齢","『各統計表の詳細については、「政府統計ＵＲＬ（https://www.moj.go.jp/housei/toukei/toukei_index2.html）」「用語の解説」等を参照』"
"0003286988","少年矯正統計 少年院","少年院別　新収容者の少年院の種類・処遇区分","年次","201501-201512","2019-03-29","0","該当なし","7546","2021-10-20","","00250006","少年矯正統計調査","00250","法務省","14","司法・安全・環境","01","司法","少年矯正統計","少年院","少年院別　新収容者の少年院の種類・処遇区分","（注)　2015年については同年1月から5月まで調査した数である。"
"0003286989","少年矯正統計 少年院","少年院別　新収容者の処遇課程等","年次","201401-201412","2019-03-29","0","該当なし","12438","2021-10-20","","00250006","少年矯正統計調査","00250","法務省","14","司法・安全・環境","01","司法","少年矯正統計","少年院","少年院別　新収容者の処遇課程等","（注）処遇課程等は，政府統計URL(http://www.moj.go.jp/housei/toukei/toukei_index2.html)「用語の解説」内の「少年院の処遇課程等区分表」参照"
"0003286990","少年矯正統計 少年院","少年院別　新収容者の少年院の種類・矯正教育課程","年次","202101-202112","2023-07-31","0","該当なし","8280","2023-11-09","","00250006","少年矯正統計調査","00250","法務省","14","司法・安全・環境","01","司法","少年矯正統計","少年院","少年院別　新収容者の少年院の種類・矯正教育課程","『各統計表の詳細については、「政府統計ＵＲＬ（https://www.moj.go.jp/housei/toukei/toukei_index2.html）」「用語の解説」等を参照』"
"0003286991","少年矯正統計 少年院","少年院別　新収容者の保護処分歴等　保護処分歴","年次","202101-202112","2023-07-31","0","該当なし","20934","2023-11-09","","00250006","少年矯正統計調査","00250","法務省","14","司法・安全・環境","01","司法","少年矯正統計","少年院","少年院別　新収容者の保護処分歴等　保護処分歴","『各統計表の詳細については、「政府統計ＵＲＬ（https://www.moj.go.jp/housei/toukei/toukei_index2.html）」「用語の解説」等を参照』"
"0003286992","少年矯正統計 少年院","少年院別　新収容者の保護処分歴等　審判不開始・不処分歴","年次","202101-202112","2023-07-31","0","該当なし","6738","2023-11-09","","00250006","少年矯正統計調査","00250","法務省","14","司法・安全・環境","01","司法","少年矯正統計","少年院","少年院別　新収容者の保護処分歴等　審判不開始・不処分歴","『各統計表の詳細については、「政府統計ＵＲＬ（https://www.moj.go.jp/housei/toukei/toukei_index2.html）」「用語の解説」等を参照』"
"0003286993","少年矯正統計 少年院","少年院別　新収容者の保護処分歴等　試験観察歴","年次","202101-202112","2023-07-31","0","該当なし","5615","2023-11-09","","00250006","少年矯正統計調査","00250","法務省","14","司法・安全・環境","01","司法","少年矯正統計","少年院","少年院別　新収容者の保護処分歴等　試験観察歴","『各統計表の詳細については、「政府統計ＵＲＬ（https://www.moj.go.jp/housei/toukei/toukei_index2.html）」「用語の解説」等を参照』"
"0003286994","少年矯正統計 少年院","少年院別　新収容者の精神診断","年次","202101-202112","2023-07-31","0","該当なし","8304","2023-11-09","","00250006","少年矯正統計調査","00250","法務省","14","司法・安全・環境","01","司法","少年矯正統計","少年院","少年院別　新収容者の精神診断","『各統計表の詳細については、「政府統計ＵＲＬ（https://www.moj.go.jp/housei/toukei/toukei_index2.html）」「用語の解説」等を参照』"
"0003286995","少年矯正統計 少年院","少年院別　新収容者の不良集団関係及び薬物等使用関係 不良集団関係","年次","202101-202112","2023-07-31","0","該当なし","7861","2023-11-09","","00250006","少年矯正統計調査","00250","法務省","14","司法・安全・環境","01","司法","少年矯正統計","少年院","少年院別　新収容者の不良集団関係及び薬物等使用関係 不良集団関係","『各統計表の詳細については、「政府統計ＵＲＬ（https://www.moj.go.jp/housei/toukei/toukei_index2.html）」「用語の解説」等を参照』"
"0003286996","少年矯正統計 少年院","少年院別　新収容者の不良集団関係及び薬物等使用関係 薬物等使用関係","年次","202101-202112","2023-07-31","0","該当なし","9427","2023-11-09","","00250006","少年矯正統計調査","00250","法務省","14","司法・安全・環境","01","司法","少年矯正統計","少年院","少年院別　新収容者の不良集団関係及び薬物等使用関係 薬物等使用関係","『各統計表の詳細については、「政府統計ＵＲＬ（https://www.moj.go.jp/housei/toukei/toukei_index2.html）」「用語の解説」等を参照』"
"0003286997","少年矯正統計 少年院","少年院別　出院者の処遇課程等","年次","201501-201512","2019-03-29","0","該当なし","12366","2021-10-20","","00250006","少年矯正統計調査","00250","法務省","14","司法・安全・環境","01","司法","少年矯正統計","少年院","少年院別　出院者の処遇課程等","（注）処遇課程等は，政府統計URL(http://www.moj.go.jp/housei/toukei/toukei_index2.html)「用語の解説」内の「少年院の処遇課程等区分表」参照"
"0003286998","少年矯正統計 少年院","少年院別　出院者の矯正教育課程","年次","202101-202112","2023-07-31","0","該当なし","8280","2023-11-09","","00250006","少年矯正統計調査","00250","法務省","14","司法・安全・環境","01","司法","少年矯正統計","少年院","少年院別　出院者の矯正教育課程","『各統計表の詳細については、「政府統計ＵＲＬ（https://www.moj.go.jp/housei/toukei/toukei_index2.html）」「用語の解説」等を参照』"
"0003286999","少年矯正統計 少年院","少年院別　退院者の在院期間（ＳＥ、ＳＡ対象者以外）","年次","202101-202112","2023-07-31","0","該当なし","13770","2023-11-09","","00250006","少年矯正統計調査","00250","法務省","14","司法・安全・環境","01","司法","少年矯正統計","少年院","少年院別　退院者の在院期間（ＳＥ、ＳＡ対象者以外）","『各統計表の詳細については、「政府統計ＵＲＬ（https://www.moj.go.jp/housei/toukei/toukei_index2.html）」「用語の解説」等を参照』"
